pair_id,x,y,theta,scale,found,score
pair_000,0.0,0.0,0.0,0.0,0,0.8320499100507985
pair_001,373.49450152475697,522.5706011918343,-0.25,11.699999999999998,1,0.928292242235756
pair_002,0.0,0.0,0.0,0.0,0,0.6139119381180655
pair_003,0.0,0.0,0.0,0.0,0,0.7355734863687822
pair_004,624.1753631680871,501.9484056760437,3.25,11.899999999999999,1,0.8633099702739507
pair_005,0.0,0.0,0.0,0.0,0,0.7524352851615144
pair_006,0.0,0.0,0.0,0.0,0,0.6090408832000992
pair_007,0.0,0.0,0.0,0.0,0,0.837524234111064
pair_008,426.4712279292142,450.5331246710132,-3.0,8.999999999999998,1,0.8486677268407019
pair_009,0.0,0.0,0.0,0.0,0,0.8347877083691422
pair_010,418.5,375.5,-4.75,11.999999999999998,1,0.8738060615093837
pair_011,419.1659258957451,570.9353596259798,-2.0,8.899999999999999,1,0.8895493627940724
pair_012,415.4289149450042,532.6542559034624,3.75,9.199999999999998,1,0.8806849960326852
pair_013,502.5186410154553,399.5838036761856,-1.0,11.7,1,0.9459764108619281
pair_014,377.9596694458322,380.8737593875127,-1.5,10.899999999999999,1,0.8574978261137834
pair_015,0.0,0.0,0.0,0.0,0,0.8202783691671819
pair_016,478.4500765574022,662.5117944198958,0.5,10.099999999999998,1,0.8445703662699524
pair_017,0.0,0.0,0.0,0.0,0,0.6283431685729204
pair_018,0.0,0.0,0.0,0.0,0,0.769154565669261
pair_019,462.81974226189385,460.23106319437267,2.75,8.599999999999998,1,0.8478984919888504
pair_020,639.0,457.0,2.0,9.299999999999999,1,0.8824134664715555
pair_021,465.05039602903736,532.2187010396862,0.75,11.599999999999998,1,0.9324140173230802
pair_022,442.65109285335615,353.58738213636894,-2.75,10.299999999999999,1,0.8723590986378212
pair_023,357.2686983980193,561.7061244088684,5.0,9.299999999999999,1,0.9026961542493661
pair_024,0.0,0.0,0.0,0.0,0,0.6231022597654912
pair_025,0.0,0.0,0.0,0.0,0,0.6850044280404981
pair_026,513.9978662077385,617.9618146893029,-3.5,11.899999999999999,1,0.8463055126383434
pair_027,0.0,0.0,0.0,0.0,0,0.8307802575492031
pair_028,478.0499635925629,439.9361242278939,1.0,11.599999999999998,1,0.8567500317266106
pair_029,0.0,0.0,0.0,0.0,0,0.7862125602768555
pair_030,0.0,0.0,0.0,0.0,0,0.7568322368851457
pair_031,0.0,0.0,0.0,0.0,0,0.6931985265371232
pair_032,478.0391048613768,409.0585774548928,-4.75,10.899999999999999,1,0.8669287472733993
pair_033,506.5274405463772,415.5020203216184,1.75,8.999999999999998,1,0.9473146847302463
pair_034,0.0,0.0,0.0,0.0,0,0.6069390524623924
pair_035,380.7258629189083,390.887201600143,2.25,11.099999999999998,1,0.846683097442736
pair_036,0.0,0.0,0.0,0.0,0,0.7517903843195455
pair_037,637.0108285747999,414.25923227896845,-4.25,10.599999999999998,1,0.8790017893382626
pair_038,641.164852994392,507.9348433981225,-3.5,9.299999999999999,1,0.869355475203901
pair_039,0.0,0.0,0.0,0.0,0,0.7740111997627801
pair_040,0.0,0.0,0.0,0.0,0,0.6163605670327621
pair_041,0.0,0.0,0.0,0.0,0,0.8155202903532747
pair_042,401.48500287839477,592.6730296836984,3.0,8.999999999999998,1,0.867938297963358
pair_043,0.0,0.0,0.0,0.0,0,0.7402780045361047
pair_044,481.1841231110409,391.0535375551901,2.0,11.599999999999998,1,0.9008125695789679
pair_045,360.5401333465178,571.5638799087634,-5.0,10.299999999999999,1,0.8931882201436865
pair_046,0.0,0.0,0.0,0.0,0,0.6507997172935921
pair_047,0.0,0.0,0.0,0.0,0,0.8215943315783193
pair_048,375.0684116300016,394.9696876198099,-2.5,11.299999999999999,1,0.869350591040539
pair_049,435.8940771121425,504.3134070052432,2.5,11.099999999999998,1,0.9189428345168402
pair_050,524.3766088793548,588.6610770891356,-2.0,8.1,1,0.9026354492714017
pair_051,583.2167225080284,574.3442323638698,-2.25,11.499999999999998,1,0.9008205343169889
pair_052,0.0,0.0,0.0,0.0,0,0.8390473603634512
pair_053,624.0,531.0,-4.75,11.599999999999998,1,0.8436818163625777
pair_054,0.0,0.0,0.0,0.0,0,0.8176246813771743
pair_055,404.7824937634864,391.5146953335622,-1.0,11.499999999999998,1,0.9157687931195853
pair_056,0.0,0.0,0.0,0.0,0,0.6161386437674554
pair_057,0.0,0.0,0.0,0.0,0,0.8065854951722129
pair_058,0.0,0.0,0.0,0.0,0,0.778412014339632
pair_059,614.5365428230712,423.429300408729,1.25,8.399999999999999,1,0.9492417230676773
pair_060,0.0,0.0,0.0,0.0,0,0.6650271470204592
pair_061,0.0,0.0,0.0,0.0,0,0.694334145833081
pair_062,378.9332177135465,584.1802487371629,-2.25,8.299999999999999,1,0.87599057197337
pair_063,612.7664548688224,489.09201445808725,2.75,11.499999999999998,1,0.8823803428042736
pair_064,556.9458266076501,464.997271258578,3.25,9.399999999999999,1,0.8883380447536403
pair_065,373.49954605351553,603.548690913633,-3.25,11.999999999999998,1,0.9135986505857228
pair_066,538.0023419191616,567.1374186976119,-0.5,10.199999999999998,1,0.8715046462614545
pair_067,0.0,0.0,0.0,0.0,0,0.8090028711020645
pair_068,0.0,0.0,0.0,0.0,0,0.6152811629719099
pair_069,0.0,0.0,0.0,0.0,0,0.8027034864731879
pair_070,542.5559750908967,353.4800845352571,-3.75,10.699999999999998,1,0.8451018532915444
pair_071,0.0,0.0,0.0,0.0,0,0.8341113255887983
pair_072,0.0,0.0,0.0,0.0,0,0.7592224993441774
pair_073,511.64915105412524,575.0878972857314,1.5,10.899999999999999,1,0.8565971526900048
pair_074,550.9710882556607,562.9396152545245,-1.5,8.799999999999999,1,0.8811667048412314
pair_075,0.0,0.0,0.0,0.0,0,0.686003446585292
pair_076,0.0,0.0,0.0,0.0,0,0.7219756488052682
pair_077,0.0,0.0,0.0,0.0,0,0.8132434227140092
pair_078,0.0,0.0,0.0,0.0,0,0.8299676614984278
pair_079,437.0079712404591,498.9566530544585,2.0,9.599999999999998,1,0.8453898497853369
pair_080,668.9729708264886,448.03619260742033,1.75,11.099999999999998,1,0.8436686735886607
pair_081,0.0,0.0,0.0,0.0,0,0.6946856671258026
pair_082,0.0,0.0,0.0,0.0,0,0.6006959574749695
pair_083,0.0,0.0,0.0,0.0,0,0.6856246388025861
pair_084,456.454342258892,529.3669979488727,3.25,9.199999999999998,1,0.8827896018508496
pair_085,0.0,0.0,0.0,0.0,0,0.6616776999466165
pair_086,0.0,0.0,0.0,0.0,0,0.6342869593905636
pair_087,562.032969354998,483.76609268796625,-0.75,9.999999999999998,1,0.8524393402833257
pair_088,580.950202836317,356.6610713723081,0.5,8.599999999999998,1,0.8817628772309394
pair_089,614.8540324823965,401.09919847188735,-3.5,11.599999999999998,1,0.8700150531495687
pair_090,348.0420643696079,417.60285698890357,4.75,9.799999999999999,1,0.8999590028550577
pair_091,0.0,0.0,0.0,0.0,0,0.7235800675593786
pair_092,420.0,618.0,4.75,9.099999999999998,1,0.8637714776714734
pair_093,567.209047161841,513.5593934568006,-2.5,8.399999999999999,1,0.8693969661146372
pair_094,0.0,0.0,0.0,0.0,0,0.7521111221657069
pair_095,0.0,0.0,0.0,0.0,0,0.7796763224610983
pair_096,0.0,0.0,0.0,0.0,0,0.8407243861279913
pair_097,0.0,0.0,0.0,0.0,0,0.721746635297382
pair_098,460.5056979730832,654.3593098156265,-3.5,9.899999999999999,1,0.8989088472787362
pair_099,0.0,0.0,0.0,0.0,0,0.7998527808551431
pair_100,503.46086155376463,580.6529479750569,3.5,9.699999999999998,1,0.8756327165673928
pair_101,460.94387186249946,657.4588410259944,-0.5,8.599999999999998,1,0.880849659915582
pair_102,579.9325490939912,357.0502424015135,-4.0,8.599999999999998,1,0.8830675524914684
pair_103,0.0,0.0,0.0,0.0,0,0.8371071487778436
pair_104,0.0,0.0,0.0,0.0,0,0.7612890446290336
pair_105,390.48110314220975,437.69937610262417,-4.75,11.999999999999998,1,0.9063503763499015
pair_106,584.9575666688186,388.027668530699,3.5,10.199999999999998,1,0.8690637901144633
pair_107,0.0,0.0,0.0,0.0,0,0.7151262958070272
pair_108,0.0,0.0,0.0,0.0,0,0.7662355970394946
pair_109,595.0132721154895,558.3124069209564,-2.25,11.2,1,0.8454563296813479
pair_110,0.0,0.0,0.0,0.0,0,0.613747244160787
pair_111,641.7295385391167,514.2424734260023,-1.0,8.1,1,0.8869922683108147
pair_112,0.0,0.0,0.0,0.0,0,0.7921020296902543
pair_113,0.0,0.0,0.0,0.0,0,0.7537292085232675
pair_114,642.5070108289617,522.4936097847665,0.75,10.299999999999999,1,0.871626576001186
pair_115,0.0,0.0,0.0,0.0,0,0.8155716091891494
